64184290, 45.856361140083|-122.81471411961
64382409, 45.855194333445|-122.81375550271
404445719, 45.855345265334|-122.81659873447
320452057, 45.853617854491|-122.81306301339
134553336, 45.557500298955|-122.63920671443
86467923, 45.542276836831|-122.6466075734
86529013, 45.54244073434|-122.64730508592
86682554, 45.54227302785|-122.64660906267
414687089, 45.555644954066|-122.63718597234
348062215, 45.552197439878|-122.64218676422
71883300, 45.549973805949|-122.64726234641
381069718, 45.545748077769|-122.64799134596
330502861, 45.536503966442|-122.64844839614
165342048, 45.549470205717|-122.64594099252
414682503, 45.535742770345|-122.64664157769
414681457, 45.546281323773|-122.6465839297
414670892, 45.545741982933|-122.64557008259
62407278, 45.546435162212|-122.64798536071
175793840, 45.55065870967|-122.64242267601
175922008, 45.535780608506|-122.64844043409
63366065, 45.553082357657|-122.64154751957
63774295, 45.535748865649|-122.64948223925
63831948, 45.555600109523|-122.63761792374
63841701, 45.557684449776|-122.64249366687
63887030, 45.54866623239|-122.64385880003
62712517, 45.845911342474|-122.84502713422
62719661, 45.848438231936|-122.84690666681
62719662, 45.848435534667|-122.84690331333
62719681, 45.843567491831|-122.85244100792
62719702, 45.842724077174|-122.85277443437
62719633, 45.84688718065|-122.84738009387
62608817, 45.577150322466|-122.71139410078
63074484, 45.578169465822|-122.72300629526
63830419, 45.576089514119|-122.71603515725
175921260, 45.580654873183|-122.72162452303
98685123, 45.579652762989|-122.70098900434
62554916, 45.584811958352|-122.73379321537
219276254, 45.576406940963|-122.71864827451
64112049, 45.579556093366|-122.70407299075
63923580, 45.580350712709|-122.70357220849
274075300, 45.575998551985|-122.70350169182
320417775, 45.579072270017|-122.69827497416
63835322, 45.575186292582|-122.73217491358
63846225, 45.579482030945|-122.73030933282
414673791, 45.57823468232|-122.72245043959
414681594, 45.578269787761|-122.72574653257
414681917, 45.574591868287|-122.72489970156
372104638, 45.578558041471|-122.72263188881
334567642, 45.576017801112|-122.70873268512
403971426, 45.575719784981|-122.70717095848
